,Label,Cluster,Size
0,-1,[   0    1    2 ... 4458 4459 4460],4259
8,7,[ 906  907  908  909  910  911  912 2327 2328 2329 2330 2331 2332],13
12,11,[1462 1463 1464 1465 1466 1467 1468 1469 1470 1471],10
4,3,[ 800  801 1573 1574 1575 3309 3310 4160 4161 4381],10
23,22,[2792 2793 2794 2795 2796 2797 2798 2799 2800 2801],10
24,23,[1274 1275 1276 1277 1278 1279 1280 1281 4352],9
22,21,[2170 2171 2172 2173 2174 2176 2178 2179 2180],9
15,14,[2858 2859 2860 2861 2862 3024 3025 3026 3223],9
26,25,[3909 3911 3912 3913 3914 3915 3917 3918],8
19,18,[4288 4289 4291 4292 4293 4294 4295 4296],8
1,0,[360 361 362 363 364 365 366 367],8
27,26,[4302 4303 4304 4305 4306 4307 4308 4309],8
11,10,[ 260  261  262 1139 1492 4071 4072 4073],8
7,6,[ 855  856  857  858  859  860 4099 4100],8
9,8,[975 976 977 978 979 980 982],7
21,20,[2063 2064 2066 2067 2068 2069 2070],7
25,24,[2255 2256 2257 2258 2259 3208 3210],7
2,1,[ 406  567 1099 1422 1532 1942 2622],7
17,16,[3209 3211 3212 3213 3214 3215],6
18,17,[1166 1167 2938 2939 3842 3843],6
20,19,[ 469  470  471 4317 4318 4319],6
6,5,[845 846 847 848 849 850],6
5,4,[826 830 831 832 834 837],6
3,2,[ 649 1434 2046 2309 3244 3946],6
13,12,[1433 2047 2310 2490 3243],5
10,9,[1072 1073 1074 1075 1076],5
16,15,[2987 2988 2989 2990 2991],5
14,13,[2387 2388 2389 2390 2391],5
