Etiqueta,Tupla,Longitud,Latitud,ND,NDC,NiDC,NoDC,NBC,NCC,NLRC,NKC,NCCO,NCCW,KNN,KNNW
v0,32.49587482146:-116.95690870553,-116.95690870553,32.49587482146,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.0,0.014140892903316932,1.0,0.014140892903316932,0.0,0.0,2.0,2.0
v1,32.49511243799:-116.95756852895,-116.95756852895,32.49511243799,4,0.0008968609865470852,0.0004484304932735426,0.0004484304932735426,0.0004484304932735426,0.01583924795211481,1.0,0.01583924795211481,0.0,0.0,1.5,1.5546599852113185
v2,32.49416351932:-116.95839129735,-116.95839129735,32.49416351932,6,0.0013452914798206279,0.0008968609865470852,0.0004484304932735426,0.039351638765953864,0.018681915682807658,1.0,0.018681915682807658,0.07142857142857142,0.0012684815273223198,2.5,2.7293826840893054
v3,32.49593590065:-116.96149796314,-116.96149796314,32.49593590065,7,0.001569506726457399,0.0008968609865470852,0.0006726457399103139,0.15274499773982875,0.018851921422516498,1.0,0.018851921422516498,0.025,0.0007737070323386179,2.6666666666666665,2.7595241155364785
v4,32.49835633716:-116.96554859966,-116.96554859966,32.49835633716,4,0.0008968609865470852,0.0002242152466367713,0.0006726457399103139,0.05810661304475797,0.014442159528331382,1.0,0.014442159528331382,0.0,0.0,1.0,1.0
v5,32.49936993891:-116.96718693048,-116.96718693048,32.49936993891,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.045362237605583305,0.014001184204088036,1.0,0.014001184204088036,0.0,0.0,1.0,1.0
v6,32.49997846003:-116.96831077605,-116.96831077605,32.49997846003,3,0.0006726457399103139,0.0004484304932735426,0.0002242152466367713,0.06439297056856551,0.015353872102063081,1.0,0.015353872102063081,0.0,0.0,2.0,2.0
v7,32.50129502326:-116.97056517273,-116.97056517273,32.50129502326,3,0.0006726457399103139,0.0002242152466367713,0.0004484304932735426,0.06439297056856554,0.01409235602401342,1.0,0.01409235602401342,0.0,0.0,2.0,1.12556128593822
v8,32.5023109542:-116.97223744022,-116.97223744022,32.5023109542,2,0.0004484304932735426,0.0002242152466367713,0.0002242152466367713,0.06214706624866949,0.013966204519175598,1.0,0.013966204519175598,0.0,0.0,2.0,2.0
v9,32.50439859661:-116.97582095995,-116.97582095995,32.50439859661,3,0.0006726457399103139,0.0002242152466367713,0.0004484304932735426,0.06214706624866949,0.013953589423942479,1.0,0.013953589423942479,0.0,0.0,1.5,1.0198698973228053
