Etiqueta,degree,distance,ranking
v0,0.249859943977591,0.0007932132892518079,0.06674925882007217
v1,0.12605042016806722,0.010610183454052154,0.15324803085096492
v2,0.37703081232492996,0.20150862728889296,0.2617980025427583
v3,0.41923436041083095,0.7208190760316594,0.6694730758269539
v4,0.001120448179271684,0.2678848257817349,0.2546544062018632
v5,0.0,0.2075899372052047,0.09869111708900355
v6,0.25042016806722694,0.30080066111175185,0.22984719515310928
v7,0.25042016806722694,0.29503191269327694,0.22198264062859765
v8,0.249859943977591,0.2841848109198114,0.20251001366220342
v9,0.12549019607843137,0.28412712373536625,0.19925707499402812
v10,0.12661064425770305,0.3189173386563116,0.5116410533105192
v11,0.2515406162464986,0.07426705210747797,0.34800242936468767
v12,0.37591036414565815,0.06488436130869886,0.19417692248895788
v13,0.25210084033613445,0.06861929404100937,0.39103096640240564
v14,0.37591036414565815,0.03524668996329848,0.14355515604554853
v15,0.2509803921568628,0.03252832009912327,0.10565114941737484
v16,0.2509803921568628,0.030418514558848465,0.2715483764447325
v17,0.2509803921568628,0.02836278320385932,0.29742878681308277
v18,0.2509803921568628,0.02624658312686057,0.10052397396234876
v19,0.12605042016806722,0.023485427006780277,0.1963949258824592
v20,0.0,0.007819563216171176,0.17017167406732497
v21,0.0,0.007174305033640686,0.1719834007019971
v22,0.0,0.00710977942210461,0.17355364931942646
v23,0.0,0.007103326981535904,0.17485697932819974
v24,0.0,0.007102681794900411,0.1759840089417433
v25,0.0,0.007102617310689703,0.17695367203243315
v26,0.0,0.007102610879495027,0.17763562817413764
v27,0.249859943977591,0.007102610247859844,0.1789541671567282
v28,0.25042016806722694,0.02619556467954135,0.009777214784875157
v29,0.49971988795518196,0.2779664653231889,0.13838510595422118
v30,0.41867413632119516,0.3188456195339706,0.40942419385283824
v31,0.33538748832866466,0.05153651362818277,0.43655667027683615
v32,0.5008403361344537,0.03865088495896364,0.2984975742921073
v33,0.2526610644257703,0.08356439826811345,0.33150632869840363
v34,0.33538748832866466,0.08758922629468932,0.262383460320737
v35,0.33538748832866466,0.09250628273636556,0.5074828866894096
v36,0.25210084033613445,0.088133449269016,0.6037722368613996
v37,0.0,0.02497508637395674,0.06156011473690285
v38,0.0,0.023603988460525454,0.07922393817696158
v39,0.249859943977591,0.023466880271238846,0.09503255373759503
v40,0.12549019607843137,0.02345317017007744,0.10759831613155058
v41,0.12661064425770305,0.041165244926582904,0.25830294603231846
v42,0.2509803921568628,0.014616819217460659,0.1435338531343688
v43,0.2509803921568628,0.011989344758445625,0.21801009585599143
v44,0.12605042016806722,0.009229414631654243,0.2185461899938041
v45,0.249859943977591,0.0006551394446030718,0.06209392199269104
v46,0.0,0.024813067526377002,0.17990939951949483
v47,0.0,0.023587789085081825,0.17981662255968456
v48,0.49971988795518196,0.02346526144766927,0.18302280831581225
v49,0.06470588235294115,0.17776832368719905,0.1617571304951674
v50,0.0,0.1358627319479599,0.0389745451530482
v51,0.49971988795518196,0.13502561205004646,0.060396343707255745
v52,0.16769374416433244,0.07227139278587459,0.1908091025593262
v53,0.249859943977591,0.00893628967848483,0.04755442474287406
v54,0.2509803921568628,0.06629017507696762,0.2510360192752578
v55,0.2509803921568628,0.13509804047141438,0.24373651828572412
v56,0.12605042016806722,0.14579506940448989,0.3048133555412366
v57,0.12605042016806722,0.06510440948156915,0.2503870151076013
v58,0.25042016806722694,0.016797437754621263,0.35394435866144736
v59,0.001120448179271684,0.14739925953861405,0.4122299882202246
v60,0.25042016806722694,0.29807672834988164,0.2539931325447622
v61,0.25042016806722694,0.29088760603224323,0.24275230915939836
v62,0.249859943977591,0.16601742588292873,0.07283288349099214
v63,0.12549019607843137,0.16594553649608812,0.08903759577373059
v64,0.249859943977591,0.018538392943289878,0.03570714823700494
v65,0.000560224089635842,0.018537674372129626,0.05761450450350495
v66,0.249859943977591,0.001750877985103635,0.008438831081851133
v67,0.2509803921568628,0.04790183777306634,0.1925224505199744
v68,0.25210084033613445,0.3409542607212532,0.2662183049270919
v69,0.249859943977591,0.24086043642655855,0.08649514152727855
v70,0.25042016806722694,0.23941861116277133,0.10078543566386484
v71,0.12549019607843137,0.11944693845024255,0.053478468632025954
v72,0.12661064425770305,0.33168326641671386,0.20439835346590404
v73,0.0,0.2500285443223024,0.19524052246121354
v74,0.0,0.2488159047863084,0.19986578770531546
v75,0.0,0.24869464105091027,0.19728384553771805
v76,0.0,0.2486825148036975,0.1949029315975561
v77,0.0,0.24868130223639762,0.19326099242111647
v78,0.0,0.24868118101986258,0.191345452938499
v79,0.0,0.2486811689039512,0.18997917420604857
v80,0.000560224089635842,0.25910919348739136,0.1955262593317002
v81,0.0,0.2533670547110268,0.19352217216248047
v82,0.249859943977591,0.2527928408448746,0.19177967964270132
v83,0.000560224089635842,0.1527149487386075,0.16584566015652927
v84,0.25042016806722694,0.22186022438867833,0.186030295757742
v85,0.12605042016806722,0.23155086859439908,0.271082064632591
v86,0.249859943977591,0.0006438231833888794,0.07589316012065209
v87,0.12605042016806722,0.23158054941906542,0.27262270802230515
