frontera,vertice,regret,maxregret,distance
115.0,v3992,0.0,0.0,0.0
114.0,v1805,0.0,8.4152556E-4,0.0
114.0,v3561,0.0,0.002539441,0.0
113.0,v1264,0.0,0.0010445727,0.0
113.0,v1526,0.0,0.0026716765,0.0
113.0,v1531,0.0,5.7495775E-4,0.0
113.0,v3722,0.0,0.0019154564,0.0
112.0,v1491,0.0,0.002690375,0.0
112.0,v4082,0.0,0.001098993,0.0
112.0,v1139,0.0,0.0020522978,0.0
112.0,v1138,0.0,0.0026969193,0.0
111.0,v520,0.0,0.0027789285,0.0
111.0,v1265,0.0,9.6449157E-4,0.0
111.0,v1492,0.0,0.0020516436,0.0
111.0,v1194,0.0,0.0031016723,0.0
111.0,v3827,0.0,0.003071706,0.0
110.0,v4245,0.0,0.0018189818,0.0
110.0,v3201,0.0,0.003087718,0.0
110.0,v3551,0.0,9.6282235E-4,0.0
110.0,v3828,0.0,0.003012139,0.0
110.0,v3200,0.0,0.003827543,0.0
109.0,v3750,0.0,0.0039268243,0.0
109.0,v431,0.0,0.0042394935,0.0
109.0,v1573,0.0,0.004036432,0.0
109.0,v3552,0.0,9.5631904E-4,0.0
109.0,v521,0.0,0.0020604974,0.0
109.0,v2596,0.0,0.0031655668,0.0
109.0,v3751,0.0,0.0031333922,0.0
109.0,v208,0.0,0.0036443032,0.0
108.0,v1756,0.0,0.0040473854,0.0
108.0,v4163,0.0,0.0016762883,0.0
108.0,v1965,0.0,0.0027568873,0.0
108.0,v4381,0.0,0.004028922,0.0
108.0,v1715,0.0,0.003195891,0.0
108.0,v4328,0.0,0.0048469477,0.0
108.0,v4071,0.0,0.0019822167,0.0
108.0,v1964,0.0,0.0034086378,0.0
107.0,v3829,0.0,0.0030061824,0.0
107.0,v4072,0.0,0.0019808277,0.0
107.0,v3397,0.0,0.0037153119,0.0
107.0,v1199,0.0,0.0062701427,0.0
107.0,v3202,0.0,0.0030137382,0.0
107.0,v4329,0.0,0.0046898923,0.0
106.0,v3218,0.0,0.0069685983,0.0
106.0,v260,0.0,0.0019884622,0.0
106.0,v2932,0.0,0.0037224877,0.0
106.0,v1574,0.0,0.004030664,0.0
106.0,v3040,0.0,0.0012971452,0.0
106.0,v1200,0.0,0.005115084,0.0
106.0,v4158,0.0,0.0047470913,0.0
106.0,v3752,0.0,0.0030540526,0.0
106.0,v209,0.0,0.0030693992,0.0
105.0,v3401,0.0,0.0046367696,0.0
105.0,v210,0.0,0.0030119086,0.0
105.0,v3830,0.0,0.0030055868,0.0
105.0,v953,0.0,0.007058851,0.0
105.0,v4150,0.0,0.0010276643,0.0
105.0,v3398,0.0,0.0030764996,0.0
105.0,v800,0.0,0.0040319343,0.0
104.0,v2933,0.0,0.003077217,0.0
104.0,v4159,0.0,0.004101833,0.0
104.0,v2586,0.0,0.0071824277,0.0
104.0,v3399,0.0,0.0030126185,0.0
104.0,v1575,0.0,0.004030087,0.0
104.0,v4330,0.0,0.0046741883,0.0
104.0,v4073,0.0,0.001980689,0.0
103.0,v2934,0.0,0.0030126902,0.0
103.0,v2241,0.0,0.0034168276,0.0
103.0,v2242,0.0,0.0021242874,0.0
103.0,v801,0.0,0.004024626,0.0
103.0,v211,0.0,0.0030061596,0.0
103.0,v2585,0.0,0.007900803,0.0
103.0,v2600,0.0,0.004946561,0.0
103.0,v3885,0.0,0.0030413198,0.0
103.0,v261,0.0,0.001982694,0.0
103.0,v3465,0.0,0.007772377,0.0
102.0,v4161,0.0,0.004030855,0.0
102.0,v1718,0.0,0.0025869294,0.0
102.0,v4331,0.0,0.004672619,0.0
102.0,v2988,0.0,0.005364196,0.0
102.0,v3219,0.0,0.0061676675,0.0
102.0,v691,0.0,0.00815729,0.0
102.0,v2987,0.0,0.005364253,0.0
102.0,v782,0.0,0.008158006,0.0
102.0,v4160,0.0,0.004037307,0.0
102.0,v168,0.0,0.0024677897,0.0
102.0,v3360,0.0,0.008055976,0.0
101.0,v4384,0.0,0.008134355,0.0
101.0,v3774,0.0,0.008132688,0.0
101.0,v3307,0.0,0.0048196753,0.0
101.0,v3772,0.0,0.008764323,0.0
101.0,v3773,0.0,0.008190109,0.0
101.0,v4382,0.0,0.008931154,0.0
101.0,v2989,0.0,0.0053641903,0.0
101.0,v692,0.0,0.008157218,0.0
101.0,v3220,0.0,0.006087579,0.0
101.0,v4222,0.0,0.006071613,0.0
101.0,v433,0.0,0.0053410567,0.0
101.0,v4383,0.0,0.00820679,0.0
101.0,v4223,0.0,0.0054127085,0.0
101.0,v954,0.0,0.0070582554,0.0
101.0,v262,0.0,0.0019821173,0.0
101.0,v1792,0.0,0.0036378799,0.0
101.0,v4251,0.0,0.0072453013,0.0
100.0,v1720,0.0,0.005764821,0.0
100.0,v4343,0.0,0.009156723,0.0
100.0,v2161,0.0,0.008869822,0.0
100.0,v693,0.0,0.00815721,0.0
100.0,v2587,0.0,0.007110591,0.0
100.0,v4349,0.0,0.00915599,0.0
100.0,v955,0.0,0.007058196,0.0
100.0,v3221,0.0,0.0060795713,0.0
100.0,v3308,0.0,0.0041090907,0.0
99.0,v4350,0.0,0.009150189,0.0
99.0,v4064,0.0,0.008110212,0.0
99.0,v956,0.0,0.00705819,0.0
99.0,v2203,0.0,0.009307772,0.0
99.0,v4068,0.0,0.008647557,0.0
99.0,v2562,0.0,0.0091637615,0.0
99.0,v3361,0.0,0.007417172,0.0
99.0,v2588,0.0,0.0071034078,0.0
99.0,v4252,0.0,0.007187241,0.0
99.0,v3466,0.0,0.0077143745,0.0
99.0,v4348,0.0,0.009213991,0.0
99.0,v434,0.0,0.0047611003,0.0
99.0,v1976,0.0,0.006131306,0.0
98.0,v2362,0.0,0.0037144339,0.0
98.0,v1684,0.0,0.009326108,0.0
98.0,v1721,0.0,0.0051255547,0.0
98.0,v2990,0.0,0.0053641894,0.0
98.0,v3775,0.0,0.008126945,0.0
98.0,v2162,0.0,0.0088123875,0.0
98.0,v4339,0.0,0.009429932,0.0
98.0,v4385,0.0,0.008127112,0.0
98.0,v4347,0.0,0.009794013,0.0
98.0,v2589,0.0,0.0071026897,0.0
98.0,v4253,0.0,0.0071814354,0.0
98.0,v3362,0.0,0.007353292,0.0
98.0,v4338,0.0,0.009495894,0.0
98.0,v1350,0.0,0.009149775,0.0
98.0,v2563,0.0,0.009163704,0.0
